# Radio balde [cm]    Tasa_reac    Error rel
0.5    0.0400809    0.00041684136
4.5    0.0510603    0.00050549697
7    0.100221    0.0007215912
10    0.117652    0.0007882684
15    0.0897607    0.00069115739
40    0.00678937    0.000194854919
