# Radio balde [cm]    Tasa_reac    Error rel
0.5    0.0397965    0.0004138836
4.5    0.0525915    0.0005153967
7    0.100823    0.0007259256
10    0.118893    0.0007846938
15    0.0905611    0.00069732047
40    0.00696739    0.000198570615
