# Radio balde [cm]    Tasa_reac    Error rel
0.5    3.2093E-05    0.0082
1.5    1.6970E-04    0.0246
2.5    7.2828E-04    0.0142
3.5    1.3856E-03    0.0109
4    1.6465E-03    0.0100
4.5    1.8766E-03    0.0097
5    2.0074E-03    0.0094
5.5    2.0414E-03    0.0094
6    2.0579E-03    0.0093
6.5    2.0271E-03    0.0095
7    1.9585E-03    0.0096
7.5    1.8520E-03    0.0100
8    1.7455E-03    0.0103
8.5    1.6062E-03    0.0107
9    1.4787E-03    0.0112
10    1.2245E-03    0.0123
11    1.0107E-03    0.0137
12    8.3865E-04    0.0152
13    6.4106E-04    0.0171
14    5.1553E-04    0.0195
15    3.9818E-04    0.0220
